transaction_id,merchant_id,transaction_date,amount,status,channel,cancellation_reason,reference_date,fla_churn90,last_complaint_date,segment,mcc,dat_process
700001,90001,2024-07-02,"166,69",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-07-02
700055,90002,2024-07-02,"1.011,88",reversed,ecom,,2025-09-30,0,,Enterprise,5411,2024-07-03
700151,90004,2024-07-02,"2.282,21",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-07-03
700056,90002,2024-07-07,"982,35",approved,pos,,2025-09-30,0,,Enterprise,5411,2024-07-08
700152,90004,2024-07-07,"2.192,73",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-07-08
700002,90001,2024-07-09,"142,70",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-07-09
700057,90002,2024-07-13,"941,26",approved,pos,,2025-09-30,0,,Enterprise,5411,2024-07-13
700153,90004,2024-07-13,"2.440,17",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-07-13
700003,90001,2024-07-16,"164,34",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-07-16
700058,90002,2024-07-18,"1.128,11",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-07-18
700154,90004,2024-07-18,"2.558,45",approved,pos,,2025-09-30,0,,Enterprise,5812,2024-07-19
700004,90001,2024-07-23,"160,26",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-07-24
700059,90002,2024-07-24,"910,42",approved,pos,,2025-09-30,0,,Enterprise,5411,2024-07-24
700155,90004,2024-07-24,"2.505,05",approved,pos,,2025-09-30,0,,Enterprise,5812,2024-07-24
700005,90001,2024-07-30,"146,58",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-07-30
700060,90002,2024-07-30,"1.079,94",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-07-30
700156,90004,2024-07-30,"2.251,85",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-07-31
700006,90001,2024-08-02,"172,42",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-08-03
700061,90002,2024-08-02,"1.200,99",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-08-02
700157,90004,2024-08-02,"2.404,56",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-08-03
700062,90002,2024-08-07,"1.098,48",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-08-08
700158,90004,2024-08-07,"2.316,24",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-08-07
700007,90001,2024-08-09,"143,46",reversed,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-08-09
700063,90002,2024-08-13,"1.198,80",approved,pos,,2025-09-30,0,,Enterprise,5411,2024-08-13
700159,90004,2024-08-13,"2.148,14",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-08-13
700008,90001,2024-08-16,"154,24",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-08-17
700064,90002,2024-08-18,"985,93",approved,pos,,2025-09-30,0,,Enterprise,5411,2024-08-19
700160,90004,2024-08-18,"2.199,69",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-08-19
700009,90001,2024-08-23,"174,74",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-08-24
700065,90002,2024-08-24,"1.002,02",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-08-25
700161,90004,2024-08-24,"2.773,43",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-08-25
700010,90001,2024-08-30,"139,78",approved,pos,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-08-31
700066,90002,2024-08-30,"1.099,05",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-08-30
700162,90004,2024-08-30,"2.190,89",approved,ecom,,2025-09-30,0,,Enterprise,5812,2024-08-31
700011,90001,2024-09-02,"163,71",approved,ecom,switching_provider,2025-09-30,1,2025-09-20,SMB,5812,2024-09-02
700067,90002,2024-09-02,"1.072,89",approved,ecom,,2025-09-30,0,,Enterprise,5411,2024-09-02
