feature,mean_abs_shap
days_since_complaint,0.9361395705536399
tpv_total,0.2335054474216464
tpv_trend_3m_6m,0.22453870185217328
avg_tx_6m,0.21491612533642493
n_tx_total,0.19701734162159099
tpv_6m,0.18029002833867355
approval_rate_total,0.1641810478776631
log_tpv_total,0.15471071475523865
avg_tx_3m,0.13854441347535462
mcc,0.13338510398671954
log_tpv_3m,0.1297996267231931
tpv_3m,0.1206409019289345
segment,0.1029969778564187
approval_rate_6m,0.08641828015193097
pct_ecom_6m,0.08596861008865536
n_months_active,0.08465167185466736
n_tx_6m,0.07372631903146958
approval_rate_3m,0.050252201873796976
n_tx_3m,0.04420334552609206
pct_ecom_3m,0.04209811272009328
